Bhimpalasi	Kafi	[3, 8, 6, 10, 8, 10, 8, 6, 8, 3, 6, 8, 10, 6, 8, 10, 3, 1, 6, 10, 3, 1, 3, 1, 0, 10, 8, 1, 10, 8, 6, 8, 6, 8, 10, 8, 6, 6, 5, 5, 3]
Bhupal todi	Todi	[3, 4, 4, 3, 6, 10, 11, 3, 3, 3, 11, 10, 6, 4, 4, 3, 4, 3, 3, 4, 3, 3, 6, 6, 4, 3, 11, 3, 6, 3, 4, 6, 10, 6, 10, 11, 11, 11, 10, 6, 4, 3, 4, 6, 10, 11, 11, 11, 3, 3, 3, 3, 11, 11, 3, 4, 4, 3, 6, 4, 4, 3, 3, 11, 3, 11, 10, 6, 10, 11, 10, 6, 3, 6, 4, 3, 10, 11, 3, 4, 6, 4, 3, 6, 10, 6, 4, 4, 4, 6, 4, 4, 3]
Bhupali	Bilaval	[3, 5, 7, 10, 0, 3, 0, 0, 3, 3, 0, 10, 10, 7, 5, 5, 3, 0, 3, 3, 0, 3, 5, 5, 5, 7, 7, 7, 7, 7, 5, 7, 10, 7, 5, 5, 7, 5, 3, 0, 3, 10, 0, 10, 3, 7, 5, 7, 10, 10, 7, 10, 0, 0, 0, 5, 3, 0, 10, 10, 7, 10, 0, 10, 3, 0, 5, 3, 0, 3, 5, 0, 10, 5, 7, 10, 7, 3, 0, 10, 7, 5, 0, 0, 3, 5, 3, 5, 7, 5, 3, 0, 3]
Bibhas	Bhairav	[3, 3, 4, 4, 7, 7, 10, 10, 11, 11, 10, 11, 3, 3, 3, 11, 11, 10, 10, 7, 7, 4, 4, 3, 11, 11, 10, 11, 3, 11, 3, 4, 3, 4, 7, 4, 7, 10, 7, 7, 10, 7, 4, 3, 11, 3, 4, 7, 10, 11, 7, 10, 10, 11, 11, 11, 10, 7, 11, 3, 7, 10, 10, 7, 10, 7, 4, 10, 7, 10, 10, 7, 7, 7, 4, 4, 3]
Bihag	Bilaval/Kalyan	[2, 10, 2, 3, 7, 8, 7, 10, 8, 8, 7, 5, 3, 10, 2, 3, 7, 7, 8, 7, 7, 8, 7, 10, 10, 10, 10, 9, 0, 10, 9, 10, 10, 7, 7, 8, 7, 10, 8, 8, 7, 5, 3, 3, 2, 10, 10, 3, 2, 3, 2, 7, 5, 3, 2, 3, 2, 7, 5, 3, 2, 2, 0, 10, 10, 2, 2, 3, 7, 8, 8, 7, 7, 10, 10, 7, 8, 7, 5, 3, 2, 3, 2, 3, 7, 8, 7, 10, 9, 10, 10, 10, 10, 2, 2, 10, 2, 3, 5, 3, 2, 3, 2, 0, 10, 10, 9, 10, 7, 8, 8, 7, 8, 10, 2, 10, 10, 3, 2, 5, 3, 2, 3, 2, 9, 0, 10, 9, 10, 8, 7, 8, 7, 10, 2, 0, 10, 8, 10, 2, 10, 8, 7, 3, 10, 2, 5, 3, 10, 2, 8, 7, 5, 3, 8, 7, 10, 9, 0, 10, 8, 7, 3, 2, 3, 2, 10, 2, 3, 7, 8, 10, 8, 7, 5, 3]
Bilaskhani todi	Bhairavi	[3, 4, 6, 10, 1, 11, 3, 3, 1, 11, 10, 8, 6, 6, 4, 3, 1, 3, 1, 11, 3, 4, 3, 1, 3, 1, 3, 6, 4, 4, 3, 6, 4, 4, 4, 8, 6, 6, 4, 3, 4, 3, 3, 3, 4, 4, 6, 4, 6, 10, 6, 10, 1, 11, 11, 1, 11, 8, 6, 4, 4, 6, 10, 7, 10, 1, 11, 11, 11, 3, 3, 11, 4, 3, 3, 4, 3, 4, 3, 6, 4, 4, 3, 3, 3, 6, 10, 11, 3, 1, 11, 11, 8, 6, 4, 4, 6, 10, 1, 11, 8, 11, 8, 6, 4, 3, 4, 3, 3, 6, 4, 1, 11, 3]
Brindabani sarang	Bilaval/Khamaj	[3, 3, 5, 8, 5, 8, 10, 1, 1, 10, 10, 3, 5, 8, 10, 1, 10, 8, 5, 5, 8, 5, 5, 8, 5, 3, 2, 3, 2, 2, 10, 2, 3, 5, 3, 3, 2, 3, 8, 5, 5, 8, 5, 5, 8, 10, 8, 10, 1, 1, 10, 8, 10, 1, 10, 10, 2, 2, 5, 3, 2, 3, 1, 10, 8, 5, 5, 8, 5, 2, 2, 10, 2, 3, 5, 8, 8, 5, 2, 2, 5, 3, 8, 5, 8, 10, 1, 10, 10, 3, 2, 2, 3, 3, 3, 10, 2, 3, 5, 5, 8, 5, 3, 2, 2, 3, 5, 3, 2, 3, 10, 1, 1, 10, 8, 10, 2, 3, 5, 3, 2, 5, 3, 2, 3, 1, 10, 8, 5, 8, 10, 1, 10, 1, 10, 8, 5, 10, 8, 5, 8, 5, 2, 2, 3, 5, 3]
Chayanat	Bilaval	[10, 3, 2, 3, 7, 5, 5, 8, 7, 8, 7, 8, 5, 3, 7, 5, 3, 2, 2, 3, 3, 5, 7, 8, 1, 0, 0, 0, 10, 10, 10, 10, 9, 10, 9, 0, 10, 10, 7, 5, 5, 8, 7, 8, 7, 7, 7, 8, 7, 8, 7, 10, 8, 8, 7, 8, 7, 7, 8, 5, 3, 3, 3, 2, 3, 7, 5, 7, 5, 7, 8, 10, 10, 10, 7, 5, 7, 8, 0, 1, 10, 10, 3, 2, 5, 5, 3, 2, 3, 3, 2, 5, 5, 3, 2, 3, 3, 0, 0, 0, 1, 10, 10, 10, 9, 10, 7, 5, 5, 7, 5, 7, 8, 5, 3, 3]
Darbari kanada	Asavari	[1, 11, 3, 1, 5, 5, 5, 6, 5, 6, 5, 3, 1, 1, 11, 1, 3, 3, 5, 5, 2, 5, 6, 6, 6, 6, 8, 6, 5, 10, 5, 1, 3, 5, 3, 3, 1, 11, 11, 1, 5, 5, 5, 5, 3, 3, 3, 1, 3, 5, 5, 3, 1, 11, 11, 1, 1, 10, 10, 10, 8, 8, 10, 10, 1, 11, 3, 1, 6, 5, 5, 6, 3, 6, 5, 3, 1, 11, 11, 1, 5, 5, 6, 5, 6, 5, 3, 5, 3, 3, 6, 3, 1, 3, 1, 3, 5, 5, 6, 6, 8, 6, 5, 3, 1, 3, 5, 3, 5, 8, 6, 8, 6, 6, 8, 8, 10, 10, 8, 10, 11, 11, 11, 1, 1, 1, 10, 10, 8, 10, 1, 10, 8, 6, 6, 8, 6, 3, 5, 5, 3, 8, 10, 11, 11, 1, 11, 11, 1, 3, 1, 11, 1, 11, 3, 1, 1, 3, 3, 3, 1, 11, 11, 1, 5, 5, 5, 6, 5, 3, 5, 6, 6, 6, 3, 1, 11, 11, 1, 5, 5, 5, 3]
Desh	Bilaval/Khamaj	[2, 3, 5, 8, 10, 2, 3, 3, 3, 1, 0, 10, 0, 10, 10, 5, 8, 7, 7, 8, 7, 5, 7, 2, 3, 0, 2, 3, 5, 3, 2, 3, 2, 3, 8, 7, 7, 5, 2, 3, 2, 3, 5, 3, 5, 3, 1, 0, 3, 2, 5, 3, 1, 1, 0, 10, 10, 3, 2, 2, 3, 8, 7, 5, 5, 8, 8, 10, 0, 10, 10, 8, 5, 10, 8, 0, 10, 0, 3, 1, 1, 0, 0, 10, 10, 8, 10, 1, 0, 3, 1, 0, 10, 0, 10, 8, 7, 8, 7, 7, 5, 5, 8, 8, 10, 3, 2, 3, 2, 2, 10, 2, 2, 3, 0, 2, 0, 3, 2, 3, 5, 3, 5, 3, 1, 0, 3, 2, 5, 3, 1, 0, 10, 0, 10, 8, 0, 10, 0, 3, 0, 3, 1, 0, 10, 0, 10, 7, 8, 7, 7, 5, 2, 3, 5, 8, 10, 2, 3, 1, 0, 10, 8, 7, 5, 5, 7, 5, 3, 2, 2, 3]
